# Constructed from biom file
#OTU ID	AR3	CL4	KP4	LQ2	MD4	PE5	PE6	SF1	SV1
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000768245838668	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales	0.0	0.0	0.0094552003602	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales	0.0	0.0	0.0	0.0	0.00369003690037	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales	0.0	0.0	0.0	0.0	0.0	0.00234082397004	0.000540832882639	0.00204865556978	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales	0.242574257426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	0.0	0.0	0.0009004952724	0.0	0.0	0.00140449438202	0.000811249323959	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales	0.0	0.0	0.0009004952724	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified	0.0	0.00684931506849	0.0054029716344	0.0	0.0	0.0	0.000540832882639	0.0	0.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales	0.0	0.00684931506849	0.0	0.0	0.0	0.0	0.0	0.0	0.00145137880987
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	0.0189768976898	0.00195694716243	0.0013507429086	0.0169971671388	0.0	0.0	0.013520822066	0.0	0.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__unidentified	0.0	0.0	0.0	0.0	0.0	0.00140449438202	0.00108166576528	0.0	0.0
k__Fungi;p__Basidiomycota;c__unidentified;o__unidentified	0.00907590759076	0.00782778864971	0.0319675821702	0.0	0.00516605166052	0.000468164794007	0.00486749594375	0.0143405889885	0.00870827285922
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Olpidiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00153649167734	0.0
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophydiales	0.003300330033	0.00880626223092	0.0054029716344	0.0	0.00147601476015	0.000936329588015	0.00405624661979	0.0	0.0
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales	0.000825082508251	0.0	0.0238631247186	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified	0.0	0.0	0.0	0.0	0.0	0.000936329588015	0.000811249323959	0.0	0.00580551523948
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000512163892446	0.0
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales	0.0	0.0	0.0	0.0	0.0	0.0	0.00162249864792	0.0	0.0
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales	0.0016501650165	0.00293542074364	0.0009004952724	0.0	0.0	0.000936329588015	0.0178474851271	0.000512163892446	0.0
k__Fungi;p__Glomeromycota;c__unidentified;o__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.000540832882639	0.0	0.0
k__Fungi;p__Zygomycota;c__Incertae_sedis;o__Kickxellales	0.0	0.0	0.0	0.0056657223796	0.0	0.0	0.0200108166577	0.0	0.0
k__Fungi;p__Zygomycota;c__Incertae_sedis;o__Mortierellales	0.125412541254	0.100782778865	0.201710941018	0.0113314447592	0.0	0.00327715355805	0.146295294754	0.00460947503201	0.011611030479
k__Fungi;p__unidentified;c__unidentified;o__unidentified	0.379537953795	0.272994129159	0.476812246736	0.484419263456	0.60073800738	0.642790262172	0.547322877231	0.441229193342	0.493468795356
