# Constructed from biom file
#OTU ID	AR3	CL4	KP4	LQ2	MD4	PE5	PE6	SF1	SV1
No blast hit;Other;Other;Other;Other	0.026402640264	0.236790606654	0.0216118865376	0.218130311615	0.0937269372694	0.0486891385768	0.0530016224986	0.0522407170294	0.0653120464441
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae	0.0049504950495	0.00587084148728	0.013507429086	0.14447592068	0.0	0.210674157303	0.0281233098972	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.000540832882639	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis	0.0	0.0	0.0	0.00849858356941	0.0	0.000936329588015	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0.0	0.0	0.0040522287258	0.0	0.0	0.000468164794007	0.0	0.00204865556978	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Piedraiaceae	0.0	0.0	0.0	0.0	0.0	0.00234082397004	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae	0.0	0.0	0.0018009905448	0.0	0.0169741697417	0.0	0.0	0.0056338028169	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Myxotrichaceae	0.0	0.0	0.0009004952724	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Myriangiales;f__Elsinoaceae	0.0	0.0	0.0	0.0	0.0	0.000936329588015	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis	0.0	0.00587084148728	0.0085547050878	0.0	0.0	0.0	0.000540832882639	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae	0.0	0.0	0.0009004952724	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.0	0.0	0.0009004952724	0.0	0.0	0.0	0.0	0.00537772087068	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleomassariaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.00108166576528	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	0.0	0.0	0.0	0.0	0.0686346863469	0.0	0.0	0.0230473751601	0.0130624092888
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	0.0	0.0	0.006753714543	0.0	0.00221402214022	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified	0.00247524752475	0.00293542074364	0.0	0.0	0.0	0.0	0.0	0.000512163892446	0.0159651669086
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified	0.0	0.00587084148728	0.0207113912652	0.0056657223796	0.0250922509225	0.0	0.0	0.0330345710627	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae	0.0	0.00684931506849	0.0031517334534	0.0	0.0	0.0	0.00027041644132	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.000540832882639	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified	0.0	0.0	0.0018009905448	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.00162249864792	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae	0.000825082508251	0.0	0.0	0.0	0.00221402214022	0.00280898876404	0.0	0.0	0.0420899854862
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Arthrodermataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.000540832882639	0.0	0.0
k__Fungi;p__Ascomycota;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis	0.0016501650165	0.0	0.0009004952724	0.0	0.0	0.00187265917603	0.000811249323959	0.0	0.0
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Ramalinaceae	0.0	0.0	0.0	0.0	0.00147601476015	0.0	0.0	0.0	0.0
