	PE6	PE5	CL4	MD4	KP4	SV1	SF1	AR3	LQ2
PE6	0.0	0.86402266289	0.900849858357	1.0	0.912181303116	0.988668555241	0.991501416431	0.85552407932	0.963172804533
PE5	0.86402266289	0.0	0.988668555241	1.0	0.99716713881	1.0	1.0	0.966005665722	0.980169971671
CL4	0.900849858357	0.988668555241	0.0	0.99716713881	0.818696883853	0.985835694051	0.946175637394	0.827195467422	0.971671388102
MD4	1.0	1.0	0.99716713881	0.0	0.974504249292	0.934844192635	0.954674220963	1.0	0.99433427762
KP4	0.912181303116	0.99716713881	0.818696883853	0.974504249292	0.0	0.988668555241	0.966005665722	0.872521246459	0.983002832861
SV1	0.988668555241	1.0	0.985835694051	0.934844192635	0.988668555241	0.0	0.985835694051	0.983002832861	0.99716713881
SF1	0.991501416431	1.0	0.946175637394	0.954674220963	0.966005665722	0.985835694051	0.0	0.988668555241	0.99433427762
AR3	0.85552407932	0.966005665722	0.827195467422	1.0	0.872521246459	0.983002832861	0.988668555241	0.0	0.983002832861
LQ2	0.963172804533	0.980169971671	0.971671388102	0.99433427762	0.983002832861	0.99716713881	0.99433427762	0.983002832861	0.0
